date,woman,man,docid
1575-01-24,False,False,622714734804309918
1575-02-09,False,True,571620488326006423
1575-02-08,False,True,571620488326006423
1575-02-09,False,True,571620488326006423
1575-02-07,True,True,571620488326006423
1575-03-11,True,True,-955217781524134117
1575-03-12,True,True,-955217781524134117
1575-03-16,True,True,-955217781524134117
1575-03-16,False,True,-955217781524134117
1575-03-16,False,True,-955217781524134117
1575-02-13,True,True,-955217781524134117
1575-04-06,True,True,-1650186577630001230
1575-03-31,False,True,-1650186577630001230
1575-04-06,False,True,-1650186577630001230
1575-04-06,False,True,-1650186577630001230
1575-04-14,False,True,-392678835761829120
1575-04-16,False,True,-392678835761829120
1575-04-20,False,True,-392678835761829120
1575-04-20,False,True,-392678835761829120
1575-04-16,False,True,-392678835761829120
1575-04-30,False,True,546476448016547346
1575-05-01,False,True,546476448016547346
1575-05-04,True,True,546476448016547346
1575-05-04,False,True,546476448016547346
1575-05-04,False,True,546476448016547346
1575-05-02,False,True,-527320736281565586
1575-05-02,False,True,-527320736281565586
1575-05-02,False,True,-527320736281565586
1575-05-14,True,True,452511824040809413
1575-05-18,False,True,452511824040809413
1575-05-18,False,True,452511824040809413
1575-05-18,False,True,452511824040809413
1575-05-18,False,True,452511824040809413
1575-05-18,False,True,452511824040809413
1575-05-21,False,True,1749400328199610388
1575-05-21,False,True,1749400328199610388
1575-05-25,False,True,1749400328199610388
1575-05-25,False,True,1749400328199610388
1575-05-25,True,True,1749400328199610388
1575-05-25,True,True,1749400328199610388
1575-04-30,False,True,1749400328199610388
1575-06-08,True,True,835443066681813667
1575-06-07,True,True,835443066681813667
1575-06-08,False,True,835443066681813667
1575-06-08,False,True,835443066681813667
1575-06-08,True,True,835443066681813667
1575-06-08,False,True,835443066681813667
1575-06-08,False,False,835443066681813667
1575-06-19,True,True,-371301703534495385
1575-06-22,False,False,-371301703534495385
1575-06-22,False,False,-371301703534495385
1575-06-22,False,True,-371301703534495385
1575-06-16,False,True,-371301703534495385
1575-06-22,True,True,-371301703534495385
1575-06-22,False,False,-371301703534495385
1575-06-22,False,True,-371301703534495385
1575-06-29,True,True,1930572901733614807
1575-06-29,True,True,1930572901733614807
1575-06-29,True,True,1930572901733614807
1575-06-25,False,True,1930572901733614807
1575-06-29,False,True,1930572901733614807
1575-06-29,False,True,1930572901733614807
1575-08-03,False,True,-1026580153801424226
1575-08-01,True,True,-1026580153801424226
1575-08-03,True,True,-1026580153801424226
1575-07-12,False,True,-1026580153801424226
1575-08-03,False,True,-1026580153801424226
1575-08-03,False,True,-1026580153801424226
1575-08-10,False,True,2164398629365399213
1575-08-10,True,True,2164398629365399213
1575-08-10,True,True,2164398629365399213
1575-08-09,True,True,2164398629365399213
1575-08-10,False,False,2164398629365399213
1575-12-03,False,True,53655387773879294
1575-12-08,False,True,53655387773879294
1575-12-08,False,True,53655387773879294
1575-12-08,False,True,53655387773879294
1575-12-07,False,True,53655387773879294
1576-01-12,False,True,-150080516935783583
1576-01-12,False,True,-150080516935783583
1576-01-12,False,True,-150080516935783583
1576-01-12,False,True,-150080516935783583
1575-12-25,False,True,-150080516935783583
1576-01-11,False,True,-150080516935783583
1575-12-09,True,True,-150080516935783583
1576-02-16,False,True,100894564408061092
1576-02-16,False,False,100894564408061092
1576-02-13,True,True,100894564408061092
1576-02-16,False,True,100894564408061092
1576-02-16,False,True,100894564408061092
1576-02-13,False,True,100894564408061092
